,date,hour,energy_kWh
291,2015-04-07,3,1.25
292,2015-04-07,4,1.2
293,2015-04-07,5,1.18
294,2015-04-07,6,1.58
295,2015-04-07,7,2.17
296,2015-04-07,8,1.39
297,2015-04-07,9,1.23
298,2015-04-07,10,2.54
299,2015-04-07,11,1.44
300,2015-04-07,12,1.1
301,2015-04-07,13,0.77
302,2015-04-07,14,0.82
303,2015-04-07,15,0.85
304,2015-04-07,16,0.93
305,2015-04-07,17,1.17
306,2015-04-07,18,2.32
307,2015-04-07,19,1.43
308,2015-04-07,20,1.97
309,2015-04-07,21,1.97
310,2015-04-07,22,1.75
311,2015-04-07,23,1.0
312,2015-04-08,0,0.68
313,2015-04-08,1,0.69
314,2015-04-08,2,0.88
315,2015-04-08,3,1.06
316,2015-04-08,4,0.75
317,2015-04-08,5,0.98
318,2015-04-08,6,1.42
319,2015-04-08,7,1.59
320,2015-04-08,8,1.01
321,2015-04-08,9,0.99
322,2015-04-08,10,0.91
323,2015-04-08,11,0.8
324,2015-04-08,12,0.7
325,2015-04-08,13,0.72
326,2015-04-08,14,0.69
327,2015-04-08,15,0.54
328,2015-04-08,16,0.8
329,2015-04-08,17,1.43
330,2015-04-08,18,1.97
331,2015-04-08,19,0.81
332,2015-04-08,20,0.71
333,2015-04-08,21,1.77
334,2015-04-08,22,1.77
335,2015-04-08,23,1.06
336,2015-04-09,0,0.72
337,2015-04-09,1,0.99
338,2015-04-09,2,0.92
339,2015-04-09,3,0.76
340,2015-04-09,4,1.18
341,2015-04-09,5,0.94
342,2015-04-09,6,1.59
343,2015-04-09,7,1.46
344,2015-04-09,8,1.22
345,2015-04-09,9,1.02
346,2015-04-09,10,0.9
347,2015-04-09,11,0.8
348,2015-04-09,12,0.72
349,2015-04-09,13,0.73
350,2015-04-09,14,0.65
351,2015-04-09,15,0.46
352,2015-04-09,16,0.89
353,2015-04-09,17,0.93
354,2015-04-09,18,1.2
355,2015-04-09,19,1.54
356,2015-04-09,20,1.45
357,2015-04-09,21,1.8
358,2015-04-09,22,1.38
359,2015-04-09,23,1.12
360,2015-04-10,0,0.71
361,2015-04-10,1,0.92
362,2015-04-10,2,0.85
363,2015-04-10,3,0.88
364,2015-04-10,4,0.71
365,2015-04-10,5,0.72
366,2015-04-10,6,1.0
367,2015-04-10,7,1.74
368,2015-04-10,8,1.1
369,2015-04-10,9,1.54
370,2015-04-10,10,0.82
371,2015-04-10,11,0.89
372,2015-04-10,12,0.38
373,2015-04-10,13,0.38
374,2015-04-10,14,0.44
375,2015-04-10,15,0.91
376,2015-04-10,16,0.91
377,2015-04-10,17,1.19
378,2015-04-10,18,2.53
379,2015-04-10,19,1.53
380,2015-04-10,20,1.35
381,2015-04-10,21,1.52
382,2015-04-10,22,1.34
383,2015-04-10,23,1.05
384,2015-04-11,0,1.06
385,2015-04-11,1,1.18
386,2015-04-11,2,0.84
387,2015-04-11,3,0.71
388,2015-04-11,4,1.03
389,2015-04-11,5,0.94
390,2015-04-11,6,0.94
391,2015-04-11,7,1.32
392,2015-04-11,8,0.96
393,2015-04-11,9,1.58
394,2015-04-11,10,1.48
395,2015-04-11,11,3.43
396,2015-04-11,12,3.46
397,2015-04-11,13,1.95
398,2015-04-11,14,2.67
399,2015-04-11,15,2.79
400,2015-04-11,16,0.78
401,2015-04-11,17,0.98
402,2015-04-11,18,1.23
403,2015-04-11,19,2.36
404,2015-04-11,20,1.46
405,2015-04-11,21,1.78
406,2015-04-11,22,1.86
407,2015-04-11,23,1.4
408,2015-04-12,0,1.53
409,2015-04-12,1,1.35
410,2015-04-12,2,1.41
411,2015-04-12,3,1.49
412,2015-04-12,4,1.08
413,2015-04-12,5,1.22
414,2015-04-12,6,1.24
415,2015-04-12,7,1.55
416,2015-04-12,8,1.08
417,2015-04-12,9,1.34
418,2015-04-12,10,1.58
419,2015-04-12,11,2.1
420,2015-04-12,12,1.27
421,2015-04-12,13,1.64
422,2015-04-12,14,1.3
423,2015-04-12,15,1.23
424,2015-04-12,16,1.24
425,2015-04-12,17,2.8
426,2015-04-12,18,5.04
427,2015-04-12,19,1.68
428,2015-04-12,20,1.73
429,2015-04-12,21,2.02
430,2015-04-12,22,2.43
431,2015-04-12,23,1.23
432,2015-04-13,0,1.19
433,2015-04-13,1,0.78
434,2015-04-13,2,1.11
435,2015-04-13,3,0.91
436,2015-04-13,4,1.33
437,2015-04-13,5,0.92
438,2015-04-13,6,1.32
439,2015-04-13,7,2.71
